protein	seq_len	score	analysis	signature_acc	signature_desc	interpro_acc	interpro_desc	product	region	note	db_xref
AYN62287.1	184	6.32e-21	SUPERFAMILY	SSF55961	Bet v1-like	-	-	truncated SxtDIOX	VanA_C	Vanillate O-demethylase oxygenase C-terminal domain	CDD:436978
AYN62287.1	184	2.5e-32	Gene3D	G3DSA:3.90.380.10	-	-	-	truncated SxtDIOX	VanA_C	Vanillate O-demethylase oxygenase C-terminal domain	CDD:436978
AYN62287.1	184	8.7e-11	PANTHER	PTHR21266	IRON-SULFUR DOMAIN CONTAINING PROTEIN	IPR050584	Cholesterol 7-desaturase	truncated SxtDIOX	VanA_C	Vanillate O-demethylase oxygenase C-terminal domain	CDD:436978
AYN62287.1	184	7.1e-16	Pfam	PF19112	Vanillate O-demethylase oxygenase C-terminal domain	IPR044043	Vanillate O-demethylase oxygenase-like, C-terminal catalytic domain	truncated SxtDIOX	VanA_C	Vanillate O-demethylase oxygenase C-terminal domain	CDD:436978
AYN62300.1	353	3.36743e-34	CDD	cd03469	Rieske_RO_Alpha_N	-	-	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62300.1	353	3.93e-36	SUPERFAMILY	SSF50022	ISP domain	IPR036922	Rieske [2Fe-2S] iron-sulphur domain superfamily	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62300.1	353	1.87e-28	SUPERFAMILY	SSF55961	Bet v1-like	-	-	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62300.1	353	1.8e-34	Gene3D	G3DSA:3.90.380.10	-	-	-	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62300.1	353	2.7e-52	PANTHER	PTHR21266	IRON-SULFUR DOMAIN CONTAINING PROTEIN	IPR050584	Cholesterol 7-desaturase	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62300.1	353	3.9e-20	Pfam	PF00355	Rieske [2Fe-2S] domain	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62300.1	353	2.9e-14	Pfam	PF19112	Vanillate O-demethylase oxygenase C-terminal domain	IPR044043	Vanillate O-demethylase oxygenase-like, C-terminal catalytic domain	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62300.1	353	5.4e-39	Gene3D	G3DSA:2.102.10.10	-	IPR036922	Rieske [2Fe-2S] iron-sulphur domain superfamily	SxtT	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62290.1	205	1.5e-13	Pfam	PF13358	DDE superfamily endonuclease	IPR038717	Tc1-like transposase, DDE domain	transposase	DDE_3	DDE superfamily endonuclease	CDD:433142
AYN62290.1	205	1.3e-27	NCBIfam	NF033545	IS630 family transposase	IPR047655	Transposase IS630-like	transposase	DDE_3	DDE superfamily endonuclease	CDD:433142
AYN62290.1	205	3.8e-16	Gene3D	G3DSA:3.30.420.10	-	IPR036397	Ribonuclease H superfamily	transposase	DDE_3	DDE superfamily endonuclease	CDD:433142
AYN62290.1	205	4.93e-05	SUPERFAMILY	SSF53098	Ribonuclease H-like	IPR012337	Ribonuclease H-like superfamily	transposase	DDE_3	DDE superfamily endonuclease	CDD:433142
AYN62284.1	158	2.1e-20	Pfam	PF00355	Rieske [2Fe-2S] domain	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	truncated SxtDIOX	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62284.1	158	1.38131e-34	CDD	cd03469	Rieske_RO_Alpha_N	-	-	truncated SxtDIOX	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62284.1	158	1.31e-36	SUPERFAMILY	SSF50022	ISP domain	IPR036922	Rieske [2Fe-2S] iron-sulphur domain superfamily	truncated SxtDIOX	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62284.1	158	6.7e-40	Gene3D	G3DSA:2.102.10.10	-	IPR036922	Rieske [2Fe-2S] iron-sulphur domain superfamily	truncated SxtDIOX	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62284.1	158	1.3e-35	PANTHER	PTHR21266	IRON-SULFUR DOMAIN CONTAINING PROTEIN	IPR050584	Cholesterol 7-desaturase	truncated SxtDIOX	PobA	Chlorophyllide a oxygenase/letal leaf spot protein [Coenzyme transport and metabolism]	CDD:444459
AYN62260.1	559	4.4e-34	PIRSF	PIRSF000171	SDHA_APRA_LASPO	-	-	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	4.4e-40	Gene3D	G3DSA:3.50.50.60	-	IPR036188	FAD/NAD(P)-binding domain superfamily	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	2.1e-05	Gene3D	G3DSA:3.50.50.60	-	IPR036188	FAD/NAD(P)-binding domain superfamily	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	4.1e-07	Gene3D	G3DSA:1.20.58.100	-	-	-	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	3.2e-05	PRINTS	PR00411	Pyridine nucleotide disulphide reductase class-I signature	-	-	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	4.8e-25	PANTHER	PTHR11632	SUCCINATE DEHYDROGENASE 2 FLAVOPROTEIN SUBUNIT	IPR030664	FAD-dependent oxidoreductase SdhA/FrdA/AprA	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	3.2e-11	PRINTS	PR00368	FAD-dependent pyridine nucleotide reductase signature	-	-	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	2.3e-16	Pfam	PF00890	FAD binding domain	IPR003953	FAD-dependent oxidoreductase 2, FAD-binding domain	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	3.75e-44	SUPERFAMILY	SSF51905	FAD/NAD(P)-binding domain	IPR036188	FAD/NAD(P)-binding domain superfamily	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62260.1	559	2.09e-16	SUPERFAMILY	SSF46977	Succinate dehydrogenase/fumarate reductase flavoprotein C-terminal domain	IPR037099	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily	SxtV	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit [Energy production and conversion]	CDD:440673
AYN62258.1	152	2.6e-11	Pfam	PF07282	Cas12f1-like, TNB domain	IPR010095	Cas12f1-like, TNB domain	transposase	InsQ	Transposase [Mobilome: prophages, transposons]	CDD:440439
AYN62261.1	108	5.1e-12	PANTHER	PTHR43687	ADENYLYLSULFATE REDUCTASE, BETA SUBUNIT	IPR050572	Iron-Sulfur Ferredoxin	SxtW	PsaC	Photosystem I reaction center iron-sulfur center subunit VII, PsaC [Energy production and conversion]	CDD:444413
AYN62261.1	108	9e-13	Gene3D	G3DSA:3.30.70.20	-	-	-	SxtW	PsaC	Photosystem I reaction center iron-sulfur center subunit VII, PsaC [Energy production and conversion]	CDD:444413
AYN62261.1	108	5.12e-16	SUPERFAMILY	SSF54862	4Fe-4S ferredoxins	-	-	SxtW	PsaC	Photosystem I reaction center iron-sulfur center subunit VII, PsaC [Energy production and conversion]	CDD:444413
AYN62261.1	108	0.00099	Pfam	PF12838	4Fe-4S dicluster domain	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	SxtW	PsaC	Photosystem I reaction center iron-sulfur center subunit VII, PsaC [Energy production and conversion]	CDD:444413
AYN62248.1	156	6.1e-28	Gene3D	G3DSA:3.30.420.10	-	IPR036397	Ribonuclease H superfamily	transposase	COG3335	Transposase [Mobilome: prophages, transposons]	CDD:442564
AYN62248.1	156	5.6e-23	PANTHER	PTHR46564	TRANSPOSASE	-	-	transposase	COG3335	Transposase [Mobilome: prophages, transposons]	CDD:442564
AYN62248.1	156	1.6e-25	Pfam	PF13358	DDE superfamily endonuclease	IPR038717	Tc1-like transposase, DDE domain	transposase	COG3335	Transposase [Mobilome: prophages, transposons]	CDD:442564
AYN62286.1	165	1.08e-12	SUPERFAMILY	SSF46689	Homeodomain-like	IPR009057	Homedomain-like superfamily	transposase	transpos_IS630	IS630 family transposase	CDD:468076
AYN62286.1	165	7.2e-07	Pfam	PF13565	Homeodomain-like domain	-	-	transposase	transpos_IS630	IS630 family transposase	CDD:468076
AYN62256.1	135	4.1e-40	Gene3D	G3DSA:3.30.70.1290	-	IPR036515	Transposase IS200-like superfamily	transposase	Y1_Tnp	Transposase IS200 like	CDD:469954
AYN62256.1	135	1.3e-33	PANTHER	PTHR33360	TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS200	-	-	transposase	Y1_Tnp	Transposase IS200 like	CDD:469954
AYN62256.1	135	3.9e-36	Pfam	PF01797	Transposase IS200 like	IPR002686	Transposase IS200-like	transposase	Y1_Tnp	Transposase IS200 like	CDD:469954
AYN62256.1	135	3.27e-44	SUPERFAMILY	SSF143422	Transposase IS200-like	IPR036515	Transposase IS200-like superfamily	transposase	Y1_Tnp	Transposase IS200 like	CDD:469954
AYN62256.1	135	1.6e-40	SMART	SM01321	Y1_Tnp_2	IPR002686	Transposase IS200-like	transposase	Y1_Tnp	Transposase IS200 like	CDD:469954
AYN62256.1	135	1.9e-36	NCBIfam	NF033573	IS200/IS605 family transposase	-	-	transposase	Y1_Tnp	Transposase IS200 like	CDD:469954
AYN62289.1	104	7.1e-05	Pfam	PF05598	Transposase domain (DUF772)	IPR008490	Transposase InsH, N-terminal	transposase	transpos_ISNCY_1	ISNCY family transposase	CDD:468102
AYN62291.1	255	1.14e-30	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	SxtX	AdoMet_MTases	S-adenosylmethionine-dependent methyltransferases (SAM or AdoMet-MTase), class I; AdoMet-MTases are enzymes that use S-adenosyl-L-methionine (SAM or AdoMet) as a substrate for methyltransfer, creating the product S-adenosyl-L-homocysteine (AdoHcy). ...	CDD:473071
AYN62291.1	255	2.7e-34	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	SxtX	AdoMet_MTases	S-adenosylmethionine-dependent methyltransferases (SAM or AdoMet-MTase), class I; AdoMet-MTases are enzymes that use S-adenosyl-L-methionine (SAM or AdoMet) as a substrate for methyltransfer, creating the product S-adenosyl-L-homocysteine (AdoHcy). ...	CDD:473071
AYN62291.1	255	9.8e-11	Pfam	PF04989	Rhamnosyl O-methyltransferase/CmcI	IPR007072	Rhamnosyl O-methyltransferase	SxtX	AdoMet_MTases	S-adenosylmethionine-dependent methyltransferases (SAM or AdoMet-MTase), class I; AdoMet-MTases are enzymes that use S-adenosyl-L-methionine (SAM or AdoMet) as a substrate for methyltransfer, creating the product S-adenosyl-L-homocysteine (AdoHcy). ...	CDD:473071
AYN62246.1	266	1.7e-33	Gene3D	G3DSA:2.60.120.620	q2cbj1_9rhob like domain	-	-	SxtS	PhyH	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family [Secondary metabolites biosynthesis, transport and catabolism]	CDD:444095
AYN62246.1	266	7.3e-12	PANTHER	PTHR20883	PHYTANOYL-COA DIOXYGENASE DOMAIN CONTAINING 1	-	-	SxtS	PhyH	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family [Secondary metabolites biosynthesis, transport and catabolism]	CDD:444095
AYN62246.1	266	3.66e-30	SUPERFAMILY	SSF51197	Clavaminate synthase-like	-	-	SxtS	PhyH	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family [Secondary metabolites biosynthesis, transport and catabolism]	CDD:444095
AYN62246.1	266	6.5e-08	Pfam	PF05721	Phytanoyl-CoA dioxygenase (PhyH)	IPR008775	Phytanoyl-CoA dioxygenase-like	SxtS	PhyH	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family [Secondary metabolites biosynthesis, transport and catabolism]	CDD:444095
AYN62281.1	54	7.5e-18	Pfam	PF19451	Family of unknown function (DUF5989)	IPR046031	Protein of unknown function DUF5989	SxtK	DUF5989	Family of unknown function (DUF5989)	CDD:466090
AYN62272.1	480	1.3e-74	PANTHER	PTHR43298	MULTIDRUG RESISTANCE PROTEIN NORM-RELATED	IPR050222	Multi Antimicrobial Extrusion (MATE)	SxtM1	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62272.1	480	7.8e-53	NCBIfam	TIGR00797	MATE family efflux transporter	IPR002528	Multi antimicrobial extrusion protein	SxtM1	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62272.1	480	1.13535e-119	CDD	cd13131	MATE_NorM_like	-	-	SxtM1	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62272.1	480	1.3e-13	Pfam	PF01554	MatE	IPR002528	Multi antimicrobial extrusion protein	SxtM1	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
AYN62272.1	480	3.5e-20	Pfam	PF01554	MatE	IPR002528	Multi antimicrobial extrusion protein	SxtM1	MATE_NorM_like	cation binding site [ion binding]	CDD:240536
